Product Name,Product Desciption,Product Link,Product unit price,Product Amount,Products Running Total,
Esp 32 S3 n16r8 with atenna port,this the brain of the collar ,https://www.aliexpress.com/item/1005009051343353.html,USD 4.21,2,USD 12.13,
GY 87,"it show the movement,orientation and if the cown is lying or standing ",https://www.aliexpress.com/item/1005009872898441.html,USD 3.81,2,USD 7.62,
resitor kits,to oppose the flow of current in the circuit ,https://www.aliexpress.com/item/1005007463549250.html,USD 4.92,1,USD 4.92,
diy wires ,for connecting boards,https://www.aliexpress.com/item/1005009304450202.html,USD 11.09,1,USD 11.09,
optocoupler,for separating the tazer part from the other part of the collar,https://www.aliexpress.com/item/1005006388488328.html,USD 0.28,1,USD 0.67,
relay ,to swich on the  tazer ,https://www.aliexpress.com/item/1005004189384263.html,USD 0.96,1,USD 0.96,
piezo buzzer sfm-27 (2pcs),to prevent the animal from exceeding the boundanry ,https://www.aliexpress.com/item/1005003081888539.html,USD 0.40,1,USD 1.28,
WAVGAT 20KV 20000V High Voltage Pressure Generator Igniter Step Up Boost Module Coil Transformer Pulse Ignition 1.5A DC 3.6-6V,to prevent the animal from exceeding the boundanry ,https://www.aliexpress.com/item/32961889703.html,USD 1.56,1,USD 1.56,
5Pcs Push Button Switch 10x15mm SPST 3Pin 3A 250V ,to turn on the collar ,https://www.aliexpress.com/item/1005002514375645.html,USD 0.40,1,USD 0.52,
soldering lead ,to solder ,https://www.aliexpress.com/item/1005008563576114.html,USD 5.80,1,USD 5.80,
 MLX90614 Contactless Temperature Sensor Module ,to measure to measure the temperature of th the live sock ,https://www.aliexpress.com/item/1005009016165503.html,USD 4.32,2,USD 8.64,
lora ra 02 ,to communicate between the station and the collar,https://www.aliexpress.com/item/1005007772422263.html,USD 4.77,2,USD 9.54,
solar charge controller ,to charge the battery ,https://www.aliexpress.com/item/1005006673920483.html,USD 0.40,3,USD 1.20,
small solar panel ,to charge the collar,https://www.aliexpress.com/item/1005007182189706.html,USD 5.50,1,USD 5.50,
gps neo 8m,to get the position of the collar,https://www.aliexpress.com/item/1005006495592091.html,USD 9.84,1,USD 9.84,
 3.7V 2000mAh Lipo Battery 903048 ,to power the collar,https://www.aliexpress.com/item/1005009180252108.html,USD 1.76,4,USD 16.53,
 iMAX B6 80W 6A Battery Charger Lipo NiMh Li-ion Ni-Cd Digital RC Balance Charger Lipro Charger Discharger + 15V 6A Adapter  (EU),to charge the batteries ,https://www.aliexpress.com/item/1005006026628635.html,USD 36.79,1,USD 36.79,
modem,to connect to the internet to serve the website ,https://www.aliexpress.com/item/1005009440640090.html,USD 14.66,1,USD 14.66,
 1W 5v solar panel,to povide power ,https://www.aliexpress.com/item/1005002142893232.html,USD 3.63,1,USD 3.63,
solar charger,to charge the battery ,https://www.aliexpress.com/item/1005005024635240.html,USD 5.22,2,USD 10.44,
rasppi zero 2w,the brain of the work station ,https://www.aliexpress.com/item/1005007480776599.html,USD 25.55,1,USD 25.55,
usb hub ,to attach peripherals to the pi zero ,https://www.aliexpress.com/item/1005004882917609.html,USD 1.70,1,USD 1.70,
sd card 64gb,for  pis os ,https://www.aliexpress.com/item/1005008119527497.html,USD 9.17,1,USD 9.17,
m100 gps  (type C),for the location of the station ,https://www.aliexpress.com/item/1005008590174242.html,USD 15.32,1,USD 15.32,
type c to micro usb,2pcs USB C To Micro USB Adapter Type-C,https://www.aliexpress.com/item/1005008554276555.html,USD 0.60,1,USD  0.83,
chain (m3 long chain),for stralp system ,https://www.aliexpress.com/item/1005009005750386.html,USD 2.88,1,USD 2.88,
power bank case ,case will contain the battery,https://www.aliexpress.com/item/1005009551210802.html,USD 1.92,1,USD 4.79,
OV2640 21MM 160 degrees 850nm night version camera module ,wide angle camera,https://www.aliexpress.com/item/1005001274692584.html,USD 3.80,3,USD 12.77,
power bank 18650 battery (12pcs),the power supply ,https://www.aliexpress.com/item/1005009733505088.html,USD 24.50,1,USD 24.50,
 XIAO ESP32S3 (2pcs),cameras to monitor the environment,https://www.aliexpress.com/item/1005005544221475.html,USD 27.22,2,USD 57.95,
circuit breaker 3A,breaks when over current is detected ,https://www.aliexpress.com/item/1005002373328023.html,USD 0.44,4,USD 1.77,
lobster joint ,for collar ,https://www.aliexpress.com/item/1005006042735008.html,USD 4.23,1,USD 4.23,
tripod stand 160cm,to hold the station up,https://www.aliexpress.com/item/1005007611226080.html,USD 20.17,1,USD 20.17,
lidar,to detect the surrounding in depth form ,https://www.aliexpress.com/item/1005010075384030.html,USD 14.34,1,USD 20.43,
collar enclosure with back cover  3d filament (200g)  ,this is used to house the sensors microcontroller and batteries of the collar th e1kg unit is 25USD  I did the calculation for 90g ,https://store.aaenics.com/product/petg-3d-printing-filament-1-75mm-1kg-multiple-colors/,USD 10,1,USD 10.00,
,,,,,,
,,,,,total,USD 386.16
